origin,destination,modularity,rawvolume,expectation
23,63,306.70770808046063,2067.173583984375,1760.4658759039144
23,64,-692.8024195681937,2495.3564453125,3188.1588648806937
23,65,7128.801232089558,13361.0986328125,6232.297400722942
23,12,86.444850768994,12672.7412109375,12586.296360168506
31,11,-14318.897378523252,32967.3359375,47286.23331602325
31,13,-17355.881767320592,36093.80859375,53449.69036107059
31,14,-5371.9888606136155,38089.171875,43461.160735613616
31,15,-11389.03151722622,12138.0224609375,23527.05397816372
31,21,3887.6819160283994,34325.234375,30437.5524589716
31,22,-9341.604217735527,13519.4521484375,22861.056366173027
31,23,-1723.2873212120176,19054.349609375,20777.636930587018
31,32,49802.12868548498,82205.1171875,32402.988502015018
31,33,56272.374703452704,86474.2109375,30201.8362340473
31,34,35592.20613332393,72178.0546875,36585.84855417607
31,35,12672.687299660844,48799.8203125,36127.13301283916
31,36,919.4554366150332,37038.9375,36119.48206338497
31,37,3465.3593268334516,30610.26171875,27144.90239191655
31,41,-7413.683943275148,19926.51171875,27340.195662025148
31,42,-4967.380692175506,25939.6796875,30907.060379675506
31,43,-2159.1728027146237,34431.5859375,36590.758740214624
31,44,-1998.2347753853755,38467.359375,40465.594150385376
31,45,-13979.96593080273,12517.4296875,26497.39561830273
31,46,-1886.662222167418,5392.2998046875,7278.962026854918
31,51,-18076.44579068757,30907.923828125,48984.36961881257
31,52,-17471.043997224835,14266.32421875,31737.368215974835
31,53,-5958.682354282017,13145.119140625,19103.801494907017
31,54,257.1798633491003,1435.4200439453125,1178.2401805962122
31,61,-12697.531633181425,25040.9765625,37738.508195681425
31,62,-5764.845848341378,13847.21875,19612.064598341378
31,63,-2195.719524188273,1401.0792236328125,3596.7987478210857
31,64,-3676.498280840324,2837.212646484375,6513.710927324699
31,65,2199.3546334017938,14932.529296875,12733.174663473206
31,12,-3493.2178567704905,22221.779296875,25714.99715364549
32,11,-15251.120917961525,20332.642578125,35583.763496086525
32,13,-18354.937296507786,21866.94140625,40221.878702757786
32,14,-9164.632407340934,23540.693359375,32705.325766715934
32,15,-6583.48091544936,11121.0615234375,17704.54243888686
32,21,1936.2931645509925,24841.11328125,22904.820116699007
32,22,-5098.645261551828,12104.7216796875,17203.36694123933
32,23,-2619.96453476014,13015.5908203125,15635.55535507264
32,31,43943.330446111504,70698.8125,26755.482053888496
32,33,25755.400537737267,48482.83984375,22727.439306012733
32,34,37216.20404001465,64747.73046875,27531.526428735353
32,35,-2220.2720157778676,24966.0625,27186.334515777868
32,36,-2336.0575038235183,24844.51953125,27180.57703507352
32,37,20026.295780105942,40453.3359375,20427.040157394058
32,41,8125.785161019954,28699.787109375,20574.001948355046
32,42,-2478.871775612479,20779.26171875,23258.13349436248
32,43,-4897.114012498674,22638.107421875,27535.221434373674
32,44,-6958.485518034406,23492.62109375,30451.106611784406
32,45,-11016.596739787074,8923.1826171875,19939.779356974574
